Link,Pets
https://www.olx.pl/d/oferta/wynajme-mieszkanie-38m2-CID3-ID16wmkk.html,yes
https://www.olx.pl/d/oferta/miejsce-garazowe-w-plaza-tower-iii-dostepne-od-zaraz-CID3-ID14YWBi.html,yes
https://www.olx.pl/d/oferta/wynajme-3-pokoje-52m2-ul-winnicka-CID3-ID12WlRT.html,yes
https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-kielce-ul-szwedzka-CID3-ID16w0a9.html,yes
https://www.olx.pl/d/oferta/wynajme-mieszkanie-41-m-kw-ul-galczynskiego-po-remoncie-CID3-ID16BOvc.html,yes
https://www.olx.pl/d/oferta/2-pokoje-53-m2-ul-hoza-17a-CID3-ID16wKnY.html,yes
https://www.olx.pl/d/oferta/kawalerka-do-wynajecia-CID3-ID16lYqr.html,yes
https://www.olx.pl/d/oferta/mieszkanie-kielce-wynajem-blisko-ujk-CID3-ID16n29s.html,yes
https://www.olx.pl/d/oferta/2-pozoimowe-mieszkanie-w-kamienicy-41m2-CID3-ID16vyH4.html,yes
https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-od-zaraz-CID3-ID16qkYh.html,yes
https://www.olx.pl/d/oferta/przestronne-2-pokojowe-mieszkanie-z-garazem-na-osiedlu-na-wrzosach-CID3-ID16qm4X.html,yes
https://www.olx.pl/d/oferta/wynajme-mieszkanie-dodatkowo-platne-tylko-rachunki-CID3-ID15Aocv.html,yes
https://www.olx.pl/d/oferta/kawalerka-do-wynajecia-bocianek-CID3-ID16wJcx.html,yes
https://www.olx.pl/d/oferta/2-pokoje-widna-kuchnia-2-pietro-ul-hoza-CID3-ID16rukw.html,yes
https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-ulica-checinska-30-CID3-ID16yPLJ.html,yes
https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-centrum-kielc-CID3-ID16xVmc.html,yes
https://www.olx.pl/d/oferta/wynajme-mieszkanie-przy-ul-wojska-polskiego-CID3-ID16pS4k.html,yes
https://www.olx.pl/d/oferta/mieszkanie-dwupokojowe-do-wynajecia-CID3-ID16jN4l.html,yes
https://www.olx.pl/d/oferta/wynajme-mieszkanie-kielce-ul-sloneczna-CID3-ID16A2l6.html,yes
https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-os-swietokrzyskie-kielce-CID3-ID16jNwB.html,yes
https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-ul-jagiellonska-CID3-ID16vvlq.html,yes
https://www.olx.pl/d/oferta/wynajme-bardzo-ladne-mieszkanie-CID3-ID14eVtD.html,yes
https://www.olx.pl/d/oferta/wynajem-mieszkania-CID3-ID16uQJx.html,yes
https://www.olx.pl/d/oferta/wynajme-kawalerke-ksm-CID3-ID15Hkda.html,yes
https://www.olx.pl/d/oferta/kawalerka-centrum-ul-nowy-swiat-wolna-od-zaraz-parking-1-pietro-balkon-CID3-ID16ojb8.html,yes
https://www.olx.pl/d/oferta/wynajme-mieszkanie-rezerwacja-CID3-ID142Xv6.html,yes
https://www.olx.pl/d/oferta/2pokoje-zwierzeta-ok-piwnica-os-na-stoku-55a-CID3-ID16wFID.html,yes
https://www.olx.pl/d/oferta/nieaktualne-nowoczesne-mieszkanie-na-wynajem-CID3-ID164aLG.html,yes
https://www.olx.pl/d/oferta/wynajme-3-pokojowe-mieszkanie-na-ul-lotnicza-CID3-ID16kAsD.html,yes
https://www.olx.pl/d/oferta/wynajme-mieszkanie-43m2-ul-jesionowa-CID3-ID16zXap.html,yes
https://www.olx.pl/d/oferta/wynajme-mieszkanie-promocyjna-cena-CID3-ID16qDMv.html,yes
https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-kielce-47m2-CID3-ID15ycnl.html,yes
https://www.olx.pl/d/oferta/2-pokoje-sypialnia-z-wydzielona-kuchnia-czynsz-i-media-wliczone-CID3-ID14a17G.html,yes
https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-w-kielcach-centrum-kosciuszki-kielce-CID3-ID16rHsd.html,yes
https://www.olx.pl/d/oferta/wynajem-mieszkania-kawalerka-centrum-wspolna-CID3-ID16qVOk.html,yes
https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-CID3-ID13Hrtw.html,yes
https://www.olx.pl/d/oferta/kawalerka-osobna-kuchnia-balkon-przy-collegium-medicum-english-CID3-ID16skmX.html,yes
https://www.olx.pl/d/oferta/mieszkanie-kielce-osiedle-legionow-CID3-ID16memz.html,yes
https://www.olx.pl/d/oferta/mieszkanie-50m2-centrum-umeblowane-nowy-blok-okazja-CID3-ID13Zt6g.html,yes
https://www.olx.pl/d/oferta/kawalerka-osiedle-na-gornej-z-duzum-tarasem-CID3-ID13rCIG.html,yes
https://www.olx.pl/d/oferta/mieszkanie-wynajem-apartament-2-pokoje-parking-sady-okazja-prywatnie-CID3-ID150hS9.html,yes
https://www.olx.pl/d/oferta/mieszkanie-2-pokoje-na-wynajem-barwinek-CID3-ID16wtjk.html,yes
https://www.olx.pl/d/oferta/cieple-tanie-przestronne-mieszkanie-w-centrum-kielc-CID3-IDPTxvY.html,yes
https://www.olx.pl/d/oferta/ul-mickiewicza-dostepne-od-zaraz-film-link-w-opisie-CID3-ID16yOeX.html,no
https://www.olx.pl/d/oferta/wynajme-mieszkanie-kielce-kaczmarka-46m-kwadratowych-CID3-ID16Bmer.html,no
https://www.olx.pl/d/oferta/wynajme-mieszkanie-48m2-2-pokoje-kielce-ul-zagnanska-plaza-CID3-ID16wkSX.html,no
https://www.olx.pl/d/oferta/kielce-pod-telegrafem-wrzosowa-f-ra-vat-wszystkie-media-ii-gie-p-CID3-IDvCxtX.html,no
https://www.olx.pl/d/oferta/wynajme-nowoczesne-mieszkanie-przy-kazimierza-wielkiego-slichowice-CID3-ID16xYvS.html,no
https://www.olx.pl/d/oferta/kawalerka-premium-w-centrum-wysoki-standard-CID3-ID13gI4E.html,no
https://www.olx.pl/d/oferta/bezczynszowe-mieszkanie-1-pokojowe-25-m2-ksm-kielce-CID3-ID16yTEI.html,no
https://www.olx.pl/d/oferta/wynajme-mieszkanie-2-pokoje-nowe-z-miejscem-w-garazu-podziemnym-CID3-ID168lem.html,no
https://www.olx.pl/d/oferta/wynajme-kawalerke-o-pow-33-m2-CID3-ID16nDmW.html,no
https://www.olx.pl/d/oferta/kawalerka-po-remoncie-ul-wojewodzka-internet-i-tv-w-cenie-CID3-ID15T4iM.html,no
https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-CID3-ID16vuhF.html,no
https://www.olx.pl/d/oferta/wynajme-mieszkanie-57m-po-odswiezeniu-w-nowym-budown-z-miejscem-park-CID3-ID16Bz29.html,no
